GIORNO;DATA;DIURNO;NOTTURNO;
M;01/01/2025;A3;D2;
G;02/01/2025;B3;A3;
V;03/01/2025;C3;B3;
S;04/01/2025;D3;C3;
D;05/01/2025;A4;D3;
L;06/01/2025;B4;A4;
M;07/01/2025;C4;B4;
M;08/01/2025;D4;C4;
G;09/01/2025;A5;D4;
V;10/01/2025;B5;A5;
S;11/01/2025;C5;B5;
D;12/01/2025;D5;C5;
L;13/01/2025;A6;D5;
M;14/01/2025;B6;A6;
M;15/01/2025;C6;B6;
G;16/01/2025;D6;C6;
V;17/01/2025;A7;D6;
S;18/01/2025;B7;A7;
D;19/01/2025;C7;B7;
L;20/01/2025;D7;C7;
M;21/01/2025;A8;D7;
M;22/01/2025;B8;A8;
G;23/01/2025;C8;B8;
V;24/01/2025;D8;C8;
S;25/01/2025;A1;D8;
D;26/01/2025;B1;A1;
L;27/01/2025;C1;B1;
M;28/01/2025;D1;C1;
M;29/01/2025;A2;D1;
G;30/01/2025;B2;A2;
V;31/01/2025;C2;B2;
S;01/02/2025;D2;C2;
D;02/02/2025;A3;D2;
L;03/02/2025;B3;A3;
M;04/02/2025;C3;B3;
M;05/02/2025;D3;C3;
G;06/02/2025;A4;D3;
V;07/02/2025;B4;A4;
S;08/02/2025;C4;B4;
D;09/02/2025;D4;C4;
L;10/02/2025;A5;D4;
M;11/02/2025;B5;A5;
M;12/02/2025;C5;B5;
G;13/02/2025;D5;C5;
V;14/02/2025;A6;D5;
S;15/02/2025;B6;A6;
D;16/02/2025;C6;B6;
L;17/02/2025;D6;C6;
M;18/02/2025;A7;D6;
M;19/02/2025;B7;A7;
G;20/02/2025;C7;B7;
V;21/02/2025;D7;C7;
S;22/02/2025;A8;D7;
D;23/02/2025;B8;A8;
L;24/02/2025;C8;B8;
M;25/02/2025;D8;C8;
M;26/02/2025;A1;D8;
G;27/02/2025;B1;A1;
V;28/02/2025;C1;B1;
S;01/03/2025;D1;C1;
D;02/03/2025;A2;D1;
L;03/03/2025;B2;A2;
M;04/03/2025;C2;B2;
M;05/03/2025;D2;C2;
G;06/03/2025;A3;D2;
V;07/03/2025;B3;A3;
S;08/03/2025;C3;B3;
D;09/03/2025;D3;C3;
L;10/03/2025;A4;D3;
M;11/03/2025;B4;A4;
M;12/03/2025;C4;B4;
G;13/03/2025;D4;C4;
V;14/03/2025;A5;D4;
S;15/03/2025;B5;A5;
D;16/03/2025;C5;B5;
L;17/03/2025;D5;C5;
M;18/03/2025;A6;D5;
M;19/03/2025;B6;A6;
G;20/03/2025;C6;B6;
V;21/03/2025;D6;C6;
S;22/03/2025;A7;D6;
D;23/03/2025;B7;A7;
L;24/03/2025;C7;B7;
M;25/03/2025;D7;C7;
M;26/03/2025;A8;D7;
G;27/03/2025;B8;A8;
V;28/03/2025;C8;B8;
S;29/03/2025;D8;C8;
D;30/03/2025;A1;D8;
L;31/03/2025;B1;A1;
M;01/04/2025;C1;B1;
M;02/04/2025;D1;C1;
G;03/04/2025;A2;D1;
V;04/04/2025;B2;A2;
S;05/04/2025;C2;B2;
D;06/04/2025;D2;C2;
L;07/04/2025;A3;D2;
M;08/04/2025;B3;A3;
M;09/04/2025;C3;B3;
G;10/04/2025;D3;C3;
V;11/04/2025;A4;D3;
S;12/04/2025;B4;A4;
D;13/04/2025;C4;B4;
L;14/04/2025;D4;C4;
M;15/04/2025;A5;D4;
M;16/04/2025;B5;A5;
G;17/04/2025;C5;B5;
V;18/04/2025;D5;C5;
S;19/04/2025;A6;D5;
D;20/04/2025;B6;A6;
L;21/04/2025;C6;B6;
M;22/04/2025;D6;C6;
M;23/04/2025;A7;D6;
G;24/04/2025;B7;A7;
V;25/04/2025;C7;B7;
S;26/04/2025;D7;C7;
D;27/04/2025;A8;D7;
L;28/04/2025;B8;A8;
M;29/04/2025;C8;B8;
M;30/04/2025;D8;C8;
G;01/05/2025;A1;D8;
V;02/05/2025;B1;A1;
S;03/05/2025;C1;B1;
D;04/05/2025;D1;C1;
L;05/05/2025;A2;D1;
M;06/05/2025;B2;A2;
M;07/05/2025;C2;B2;
G;08/05/2025;D2;C2;
V;09/05/2025;A3;D2;
S;10/05/2025;B3;A3;
D;11/05/2025;C3;B3;
L;12/05/2025;D3;C3;
M;13/05/2025;A4;D3;
M;14/05/2025;B4;A4;
G;15/05/2025;C4;B4;
V;16/05/2025;D4;C4;
S;17/05/2025;A5;D4;
D;18/05/2025;B5;A5;
L;19/05/2025;C5;B5;
M;20/05/2025;D5;C5;
M;21/05/2025;A6;D5;
G;22/05/2025;B6;A6;
V;23/05/2025;C6;B6;
S;24/05/2025;D6;C6;
D;25/05/2025;A7;D6;
L;26/05/2025;B7;A7;
M;27/05/2025;C7;B7;
M;28/05/2025;D7;C7;
G;29/05/2025;A8;D7;
V;30/05/2025;B8;A8;
S;31/05/2025;C8;B8;
D;01/06/2025;D8;C8;
L;02/06/2025;A1;D8;
M;03/06/2025;B1;A1;
M;04/06/2025;C1;B1;
G;05/06/2025;D1;C1;
V;06/06/2025;A2;D1;
S;07/06/2025;B2;A2;
D;08/06/2025;C2;B2;
L;09/06/2025;D2;C2;
M;10/06/2025;A3;D2;
M;11/06/2025;B3;A3;
G;12/06/2025;C3;B3;
V;13/06/2025;D3;C3;
S;14/06/2025;A4;D3;
D;15/06/2025;B4;A4;
L;16/06/2025;C4;B4;
M;17/06/2025;D4;C4;
M;18/06/2025;A5;D4;
G;19/06/2025;B5;A5;
V;20/06/2025;C5;B5;
S;21/06/2025;D5;C5;
D;22/06/2025;A6;D5;
L;23/06/2025;B6;A6;
M;24/06/2025;C6;B6;
M;25/06/2025;D6;C6;
G;26/06/2025;A7;D6;
V;27/06/2025;B7;A7;
S;28/06/2025;C7;B7;
D;29/06/2025;D7;C7;
L;30/06/2025;A8;D7;
M;01/07/2025;B8;A8;
M;02/07/2025;C8;B8;
G;03/07/2025;D8;C8;
V;04/07/2025;A1;D8;
S;05/07/2025;B1;A1;
D;06/07/2025;C1;B1;
L;07/07/2025;D1;C1;
M;08/07/2025;A2;D1;
M;09/07/2025;B2;A2;
G;10/07/2025;C2;B2;
V;11/07/2025;D2;C2;
S;12/07/2025;A3;D2;
D;13/07/2025;B3;A3;
L;14/07/2025;C3;B3;
M;15/07/2025;D3;C3;
M;16/07/2025;A4;D3;
G;17/07/2025;B4;A4;
V;18/07/2025;C4;B4;
S;19/07/2025;D4;C4;
D;20/07/2025;A5;D4;
L;21/07/2025;B5;A5;
M;22/07/2025;C5;B5;
M;23/07/2025;D5;C5;
G;24/07/2025;A6;D5;
V;25/07/2025;B6;A6;
S;26/07/2025;C6;B6;
D;27/07/2025;D6;C6;
L;28/07/2025;A7;D6;
M;29/07/2025;B7;A7;
M;30/07/2025;C7;B7;
G;31/07/2025;D7;C7;
V;01/08/2025;A8;D7;
S;02/08/2025;B8;A8;
D;03/08/2025;C8;B8;
L;04/08/2025;D8;C8;
M;05/08/2025;A1;D8;
M;06/08/2025;B1;A1;
G;07/08/2025;C1;B1;
V;08/08/2025;D1;C1;
S;09/08/2025;A2;D1;
D;10/08/2025;B2;A2;
L;11/08/2025;C2;B2;
M;12/08/2025;D2;C2;
M;13/08/2025;A3;D2;
G;14/08/2025;B3;A3;
V;15/08/2025;C3;B3;
S;16/08/2025;D3;C3;
D;17/08/2025;A4;D3;
L;18/08/2025;B4;A4;
M;19/08/2025;C4;B4;
M;20/08/2025;D4;C4;
G;21/08/2025;A5;D4;
V;22/08/2025;B5;A5;
S;23/08/2025;C5;B5;
D;24/08/2025;D5;C5;
L;25/08/2025;A6;D5;
M;26/08/2025;B6;A6;
M;27/08/2025;C6;B6;
G;28/08/2025;D6;C6;
V;29/08/2025;A7;D6;
S;30/08/2025;B7;A7;
D;31/08/2025;C7;B7;
L;01/09/2025;D7;C7;
M;02/09/2025;A8;D7;
M;03/09/2025;B8;A8;
G;04/09/2025;C8;B8;
V;05/09/2025;D8;C8;
S;06/09/2025;A1;D8;
D;07/09/2025;B1;A1;
L;08/09/2025;C1;B1;
M;09/09/2025;D1;C1;
M;10/09/2025;A2;D1;
G;11/09/2025;B2;A2;
V;12/09/2025;C2;B2;
S;13/09/2025;D2;C2;
D;14/09/2025;A3;D2;
L;15/09/2025;B3;A3;
M;16/09/2025;C3;B3;
M;17/09/2025;D3;C3;
G;18/09/2025;A4;D3;
V;19/09/2025;B4;A4;
S;20/09/2025;C4;B4;
D;21/09/2025;D4;C4;
L;22/09/2025;A5;D4;
M;23/09/2025;B5;A5;
M;24/09/2025;C5;B5;
G;25/09/2025;D5;C5;
V;26/09/2025;A6;D5;
S;27/09/2025;B6;A6;
D;28/09/2025;C6;B6;
L;29/09/2025;D6;C6;
M;30/09/2025;A7;D6;
M;01/10/2025;B7;A7;
G;02/10/2025;C7;B7;
V;03/10/2025;D7;C7;
S;04/10/2025;A8;D7;
D;05/10/2025;B8;A8;
L;06/10/2025;C8;B8;
M;07/10/2025;D8;C8;
M;08/10/2025;A1;D8;
G;09/10/2025;B1;A1;
V;10/10/2025;C1;B1;
S;11/10/2025;D1;C1;
D;12/10/2025;A2;D1;
L;13/10/2025;B2;A2;
M;14/10/2025;C2;B2;
M;15/10/2025;D2;C2;
G;16/10/2025;A3;D2;
V;17/10/2025;B3;A3;
S;18/10/2025;C3;B3;
D;19/10/2025;D3;C3;
L;20/10/2025;A4;D3;
M;21/10/2025;B4;A4;
M;22/10/2025;C4;B4;
G;23/10/2025;D4;C4;
V;24/10/2025;A5;D4;
S;25/10/2025;B5;A5;
D;26/10/2025;C5;B5;
L;27/10/2025;D5;C5;
M;28/10/2025;A6;D5;
M;29/10/2025;B6;A6;
G;30/10/2025;C6;B6;
V;31/10/2025;D6;C6;
S;01/11/2025;A7;D6;
D;02/11/2025;B7;A7;
L;03/11/2025;C7;B7;
M;04/11/2025;D7;C7;
M;05/11/2025;A8;D7;
G;06/11/2025;B8;A8;
V;07/11/2025;C8;B8;
S;08/11/2025;D8;C8;
D;09/11/2025;A1;D8;
L;10/11/2025;B1;A1;
M;11/11/2025;C1;B1;
M;12/11/2025;D1;C1;
G;13/11/2025;A2;D1;
V;14/11/2025;B2;A2;
S;15/11/2025;C2;B2;
D;16/11/2025;D2;C2;
L;17/11/2025;A3;D2;
M;18/11/2025;B3;A3;
M;19/11/2025;C3;B3;
G;20/11/2025;D3;C3;
V;21/11/2025;A4;D3;
S;22/11/2025;B4;A4;
D;23/11/2025;C4;B4;
L;24/11/2025;D4;C4;
M;25/11/2025;A5;D4;
M;26/11/2025;B5;A5;
G;27/11/2025;C5;B5;
V;28/11/2025;D5;C5;
S;29/11/2025;A6;D5;
D;30/11/2025;B6;A6;
L;01/12/2025;C6;B6;
M;02/12/2025;D6;C6;
M;03/12/2025;A7;D6;
G;04/12/2025;B7;A7;
V;05/12/2025;C7;B7;
S;06/12/2025;D7;C7;
D;07/12/2025;A8;D7;
L;08/12/2025;B8;A8;
M;09/12/2025;C8;B8;
M;10/12/2025;D8;C8;
G;11/12/2025;A1;D8;
V;12/12/2025;B1;A1;
S;13/12/2025;C1;B1;
D;14/12/2025;D1;C1;
L;15/12/2025;A2;D1;
M;16/12/2025;B2;A2;
M;17/12/2025;C2;B2;
G;18/12/2025;D2;C2;
V;19/12/2025;A3;D2;
S;20/12/2025;B3;A3;
D;21/12/2025;C3;B3;
L;22/12/2025;D3;C3;
M;23/12/2025;A4;D3;
M;24/12/2025;B4;A4;
G;25/12/2025;C4;B4;
V;26/12/2025;D4;C4;
S;27/12/2025;A5;D4;
D;28/12/2025;B5;A5;
L;29/12/2025;C5;B5;
M;30/12/2025;D5;C5;
M;31/12/2025;A6;D5;
